name,latitude,longitude,country,code
Kagoshima Airport,31.8034,130.718994,JP,KOJ
Chubu Centrair International Airport,34.858398,136.804993,JP,NGO
Osaka International Airport,34.7855,135.438004,JP,ITM
Sendai Airport,38.139702,140.917007,JP,SDJ
Tokyo Haneda International Airport,35.552299,139.779999,JP,HND
Muan International Airport,34.991406,126.382814,KR,MWX
Jeju International Airport,33.512058,126.492548,KR,CJU
Gimhae International Airport,35.179501,128.938004,KR,PUS
Incheon International Airport,37.469101,126.450996,KR,ICN
Gimpo International Airport,37.5583,126.791,KR,GMP
Naha Airport / JASDF Naha Air Base,26.195801,127.646004,JP,OKA
Ninoy Aquino International Airport,14.5086,121.019997,PH,MNL
Francisco Bangoy International Airport,7.12552,125.646004,PH,DVO
Mactan Cebu International Airport,10.309261,123.97974,PH,CEB
Jorge Newbery Airpark,-34.5592,-58.4156,AR,AEP
Minister Pistarini International Airport,-34.8222,-58.5358,AR,EZE
Val de Cans/Júlio Cezar Ribeiro International Airport,-1.379279,-48.476207,BR,BEL
Presidente Juscelino Kubitschek International Airport,-15.869167,-47.920834,BR,BSB
Tancredo Neves International Airport,-19.63571,-43.966928,BR,CNF
Eduardo Gomes International Airport,-3.03861,-60.049702,BR,MAO
Hercílio Luz International Airport,-27.670279,-48.552502,BR,FLN
Pinto Martins International Airport,-3.775833,-38.532222,BR,FOR
Rio Galeão – Tom Jobim International Airport,-22.809999,-43.250557,BR,GIG
Guarulhos - Governador André Franco Montoro International Airport,-23.431944,-46.467778,BR,GRU
Porto Seguro Airport,-16.438426,-39.080584,BR,BPS
Deputado Luiz Eduardo Magalhães International Airport,-12.908611,-38.322498,BR,SSA
Eurico de Aguiar Salles Airport,-20.258,-40.285,BR,VIX
Comodoro Arturo Merino Benítez International Airport,-33.39300156,-70.78579712,CL,SCL
José Joaquín de Olmedo International Airport,-2.15742,-79.883598,EC,GYE
Mariscal Sucre International Airport,-0.125399,-78.354306,EC,UIO
Silvio Pettirossi International Airport,-25.240156,-57.519227,PY,ASU
